nohup: ignoring input
[ 1] local::disk.dev.write["sdb"]
[ 2] local::disk.dev.write_bytes["sdb"]
[ 3] local::disk.dev.read["sdb"]
[ 4] local::disk.dev.read_bytes["sdb"]
[ 5] local::filesys.used["/dev/sdb"]
[ 6] local::filesys.usedfiles["/dev/sdb"]

             Column,     1,     2,     3,     4,     5,     6
             Source,local:,local:,local:,local:,local:,local:
             Metric, write,_bytes,  read,_bytes,  used,dfiles
               Inst,   sdb,   sdb,   sdb,   sdb,/dev/s,/dev/s
              Units,   c/s,   b/s,   c/s,   b/s,     b,  none
2020-07-17 10:48:40,     ?,     ?,     ?,     ?, 0.74G,35.66K
2020-07-17 10:48:41, 4.00 ,49.15K, 0.00 , 0.00 , 0.74G,35.66K
2020-07-17 10:48:42, 2.00 ,24.54K, 0.00 , 0.00 , 0.74G,35.66K
2020-07-17 10:51:49,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:51:50,0.000000,0.000000,0.000000,0.0,794568949.76,36546.56,0
2020-07-17 10:51:51,0.000000,0.000000,0.000000,0.0,794568949.76,36567.04,0
2020-07-17 10:51:52,0.000000,0.000000,0.000000,0.0,794568949.76,36567.04,0
2020-07-17 10:51:53,0.000000,0.000000,0.000000,0.0,794568949.76,36567.04,0
2020-07-17 10:51:54,0.000000,0.000000,0.000000,0.0,794568949.76,36608.0,0
2020-07-17 10:51:55,0.000000,0.000000,0.000000,0.0,794568949.76,36618.24,0
2020-07-17 10:51:56,58.960000,555745.280000,0.000000,0.0,794568949.76,36628.48,12
2020-07-17 10:51:57,0.000000,0.000000,0.000000,0.0,794568949.76,36659.2,0
2020-07-17 10:51:58,0.000000,0.000000,0.000000,0.0,794568949.76,36679.68,0
2020-07-17 10:51:59,0.000000,0.000000,0.000000,0.0,794568949.76,36700.16,0
2020-07-17 10:52:00,0.000000,0.000000,0.000000,0.0,794568949.76,36700.16,0
2020-07-17 10:52:01,143.360000,1027604.480000,0.000000,0.0,794568949.76,36730.88,4
2020-07-17 10:52:02,0.000000,0.000000,0.000000,0.0,794568949.76,36751.36,0
2020-07-17 10:52:03,0.000000,0.000000,0.000000,0.0,794568949.76,36761.6,0
2020-07-17 10:52:04,0.000000,0.000000,0.000000,0.0,794568949.76,36812.8,0
2020-07-17 10:52:05,0.000000,0.000000,0.000000,0.0,794568949.76,36823.04,0
2020-07-17 10:52:06,143.360000,1216348.160000,0.000000,0.0,794568949.76,36833.28,4
2020-07-17 10:52:07,0.000000,0.000000,0.000000,0.0,794568949.76,36874.24,0
2020-07-17 10:52:08,0.000000,0.000000,0.000000,0.0,794568949.76,36874.24,0
2020-07-17 10:52:09,0.000000,0.000000,0.000000,0.0,794568949.76,36884.48,0
2020-07-17 10:52:10,0.000000,0.000000,0.000000,0.0,794568949.76,36915.2,0
2020-07-17 10:52:11,204.800000,1772093.440000,0.000000,0.0,794568949.76,36935.68,4
2020-07-17 10:52:12,0.000000,0.000000,0.000000,0.0,794568949.76,36945.92,0
2020-07-17 10:52:13,0.000000,0.000000,0.000000,0.0,794568949.76,36966.4,0
2020-07-17 10:52:14,0.000000,0.000000,0.000000,0.0,794568949.76,36997.12,0
2020-07-17 10:52:15,0.000000,0.000000,0.000000,0.0,794568949.76,37017.6,0
2020-07-17 10:52:16,184.320000,1310720.000000,0.000000,0.0,794568949.76,37048.32,4
2020-07-17 10:52:17,0.000000,0.000000,0.000000,0.0,794568949.76,37068.8,0
2020-07-17 10:52:18,0.000000,0.000000,0.000000,0.0,794568949.76,37089.28,0
2020-07-17 10:52:19,0.000000,0.000000,0.000000,0.0,794568949.76,37099.52,0
2020-07-17 10:52:20,0.000000,0.000000,0.000000,0.0,794568949.76,37109.76,0
2020-07-17 10:52:21,194.560000,1426063.360000,0.000000,0.0,794568949.76,37130.24,4
2020-07-17 10:52:22,0.000000,0.000000,0.000000,0.0,794568949.76,37140.48,0
2020-07-17 10:52:23,0.000000,0.000000,0.000000,0.0,794568949.76,37150.72,0
2020-07-17 10:52:24,0.000000,0.000000,0.000000,0.0,794568949.76,37150.72,0
2020-07-17 10:52:25,0.000000,0.000000,0.000000,0.0,794568949.76,37160.96,0
